Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
15,eux,them
17,chaque,each
18,arrivé,come
19,bébé,baby
20,longtemps,long time
22,pendant,while
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,leurs,their
35,donné,given
36,train,train
38,endroit,place
39,yeux,eyes
40,façon,way
43,trouve,find
45,perdu,lost
46,main,hand
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,suite,after
56,pardon,sorry
57,venez,come
58,devant,in front of
59,vers,towards
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
70,enfin,finally
72,eau,water
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
